episode,restaurant,city,address,lat,lon,precision,score,tags,video_id,url,transcript_path
33,Camargo Tamales Restaurant,Denver,"Camargo Tamales Restaurant, 2300, West 44th Avenue, Sunnyside, Denver, Colorado, 80211, United States",39.776215,-105.015045,restaurant,4.7,super-hot,4w38gHFNkAU,https://youtube.com/shorts/4w38gHFNkAU,transcripts/050_Episode_33_-_Camargo_Tamales_Restaurant_4w38gHFNkAU.txt
32,Verde,Boulder,"VERDE, 3070, 28th Street, Boulder, Boulder County, Colorado, 80301, United States",40.0306629,-105.2576416,restaurant,4.1,pork,xqIXz1WoLTk,https://youtube.com/shorts/xqIXz1WoLTk,transcripts/051_Episode_32_-_Verde_xqIXz1WoLTk.txt
31,Limon Y Sal,Broomfield,"3700 W 144th Ave, Westminster, CO 80023",39.957538,-105.009085,restaurant,4.3,,BcWRoL5HpbU,https://youtube.com/shorts/BcWRoL5HpbU,transcripts/052_Episode_31_-_Limon_Y_Sal_BcWRoL5HpbU.txt
30,El Jardin,Commerce City,"Cantina @ El Jardin, 6460, East 73rd Avenue, Commerce City, Adams County, Colorado, 80022, United States",39.8290525,-104.9128215,restaurant,4.9,,jYPygGoXq20,https://youtube.com/shorts/jYPygGoXq20,transcripts/053_Episode_30_-_El_Jardin_jYPygGoXq20.txt
29,Si Senor Mexican Food,Erie,"3120 Village Vista Dr, Erie, CO 80516",40.001058,-105.020974,restaurant,4.5,vegetarian,wImw7AnBJAw,https://youtube.com/shorts/wImw7AnBJAw,transcripts/054_Episode_29_-_Si_Senor_Mexican_Food_wImw7AnBJAw.txt
28,Rosa Mexican Kitchen,Thornton,"Rosa Mexican Kitchen, 14322, Lincoln Street, The Grove, Thornton, Adams County, Colorado, 80023, United States",39.9553591,-104.98439,restaurant,3.8,,6BZKFLZ-d-Q,https://youtube.com/shorts/6BZKFLZ-d-Q,transcripts/055_Episode_28_-_Rosa_Mexican_Kitchen_6BZKFLZ-d-Q.txt
27,Ted'z Place Restaurant and Lounge,Commerce City,"5271 E 52nd Ave, Commerce City, CO 80022",39.791139,-104.926276,restaurant,4.2,,CVPGZMQr-XE,https://youtube.com/shorts/CVPGZMQr-XE,transcripts/056_Episode_27_-_Tedz_Place_Restaurant_and_Lounge_CVPGZMQr-XE.txt
26,Carnitas Estilo Michoacan,Fort Lupton,"20 S Grand Ave, Fort Lupton, CO 80621",40.079928,-104.817785,restaurant,3.2,pork,GEn-Jg0sfBw,https://youtube.com/shorts/GEn-Jg0sfBw,transcripts/057_Episode_26_-_Carnitas_Estilo_Michoacan_GEn-Jg0sfBw.txt
25,Santiagos Mexican Restaurant,Colorado,"1150 E Bridge St, Brighton, CO 80601",39.986552,-104.807914,restaurant,4.3,,Mx7YNgJGVGA,https://youtube.com/shorts/Mx7YNgJGVGA,transcripts/058_Episode_25_-_Santiagos_Mexican_Restaurant_Mx7YNgJGVGA.txt
24,Taqueria La Sierra,Fort Lupton,"Taqueria La Sierra, 720, Denver Avenue, Fort Lupton, Weld County, Colorado, 80621, United States",40.0862087,-104.810306,restaurant,2.9,,lpuqGSwrMzA,https://youtube.com/shorts/lpuqGSwrMzA,transcripts/059_Episode_24_-_Taqueria_La_Sierra_lpuqGSwrMzA.txt
